year,developer,price
2014,Niels Bauer Games,3.99
2014,"Tom Stoffel,Puny Human",1.99
2014,Gato Salvaje S.L.,7.99
2014,"Alan Hazelden,Harry Lee",9.99
2014,New Reality Games,2.99
2014,Up Multimedia,14.99
2014,GalaxyTrail,14.99
2014,"FromSoftware, Inc",9.99
2014,Nom Nom Games,19.99
2014,Winter Wolves,0.99
2014,"SmiteWorks USA, LLC",9.99
2014,"Max Gaming Technologies, LLC",14.99
2014,Rob Howland,4.99
2014,"FromSoftware, Inc",24.99
2014,Tribe Studios,Free To Play
2014,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
2014,Moonshot Games,4.99
2014,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",6.99
2014,Isotope 244 LLC,14.99
2014,"SmiteWorks USA, LLC",12.99
2014,Relic Entertainment,3.99
2014,Relic Entertainment,3.99
2014,Relic Entertainment,3.99
2014,Relic Entertainment,3.99
2014,Relic Entertainment,3.99
2014,"Trion Worlds, Inc.",99.99
2012,The Lordz Games Studio,29.99
2014,Nerdook Productions,6.99
2014,Fireproof Games,4.99
2014,DragonSix,4.99
2014,"SmiteWorks USA, LLC",5.99
2014,Elliptic Games,14.99
2014,"SmiteWorks USA, LLC",5.99
2014,"Elliptic Games,John Robert Matz",4.99
2014,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",4.99
2014,V-Axys,4.99
2014,Nihon Falcom,19.99
2011,Artifex Mundi,9.99
2014,Infinity Ward,1.99
2014,N94Games,0.99
2014,Masthead Studios Ltd,9.99
2014,Filament Games,4.99
2015,Narrow Monolith,2.99
2014,Sinclair Strange,0.99
2014,Free Lives,Free
2014,Keen Games,14.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
2014,Little Worlds Interactive,6.99
2014,Ubisoft - San Francisco,2.99
2014,Spry Fox LLC,14.99
2014,Ubisoft - San Francisco,2.99
2014,"SmiteWorks USA, LLC",9.99
2014,Night Node,9.99
2014,Capcom,14.99
2014,Graviteam,14.99
2014,Childish Things,9.99
2014,Belsimtek,49.99
2014,FrameLineNetwork Kft.,4.99
2014,gnifrebel Games UG,9.99
2004,MADia Entertainment,3.99
2006,Lonely Troops,3.99
2014,Evil Twin Artworks,24.99
2014,88mm,9.99
2014,Ennoble Studios,6.99
2014,A Jolly Corpse,14.99
2014,Dovetail Games,19.99
2014,ShaunJS,5.99
2014,"Dan  Walters,Ceri Williams",3.99
2014,Nowhere Studios,9.99
2014,Dovetail Games,7.99
2014,Rebellion,3.99
2014,Big Pixel Studios,14.99
2014,Duaik Entretenimento,9.99
2014,Teyon,2.99
2014,Pictopotamus,34.99
2014,Freedom Factory,19.99
2014,GamePrix,Free to Play
2007,Idigicon,6.99
2011,VR Designs,29.99
2004,Idigicon,6.99
2006,Idigicon,6.99
2013,Enitvare,4.99
2014,"KOEI TECMO GAMES CO., LTD.",19.99
2014,"KOEI TECMO GAMES CO., LTD.",13.99
2014,"KOEI TECMO GAMES CO., LTD.",5.99
2014,"KOEI TECMO GAMES CO., LTD.",15.99
2014,"KOEI TECMO GAMES CO., LTD.",21.99
2014,GalaxyTrail,6.99
2014,Rebellion,6.99
2014,Cuve Games,9.99
2014,DrinkBox Studios,14.99
2014,Chromatic Dream,3.99
2014,The Men Who Wear Many Hats,Free
2014,"SmiteWorks USA, LLC",5.99
2014,Zojoi,14.99
2014,Excalibur,4.99
2009,Orion Games,3.99
2014,Eldon Harris,5.99
2014,Eldon Harris,14.99
2014,Colossal Games,9.99
2003,Asylum entertainment,2.99
2014,Wonderful Tree Studio,4.99
2014,"RichMakeGame,Colin Northway",9.99
2014,Capybara Games,14.99
2001,Microids,4.99
2014,SkyGoblin,19.99
2014,GammaLateral,4.99
2014,"Capybara Games,6955",7.99
2014,4A Games,19.99
2014,4A Games,19.99
2014,Gabriel Priske,4.99
2014,"Gabriel Priske,Luke Thomas",0.99
2014,"FromSoftware, Inc",9.99
2014,Ubisoft - San Francisco,4.99
2014,Xaviant,39.99
2014,YorkshireRifles,19.99
2014,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",5.99
2014,"SmiteWorks USA, LLC",4.99
2014,N3V Games,4.99
2014,N3V Games,2.99
2014,Tin Man Games,4.99
2014,"KOEI TECMO GAMES CO., LTD.",2.99
2014,Exor Studios,0.99
2014,"SmiteWorks USA, LLC",4.99
2011,Social Loner Studios,1.99
2014,Larian Studios,14.99
2014,Kardfy Studios,5.99
2013,Eko Software,14.99
2014,Ronimo Games,2.49
2014,Ronimo Games,7.49
2014,Ronimo Games,4.99
2013,Choice of Games,4.99
2014,Nine Dots Studio,19.99
2014,Psychotic Psoftware,2.99
2014,Aldorlea Games,5.99
2014,Wyrmbyte,19.99
2014,Dovetail Games,19.99
2014,"Darius Bode,Barbara Bode",19.99
2014,Nomad Games,1.99
2014,Rasmus Ljunggren,14.99
2014,BS1 &amp; BSL Team,3.99
2013,Artifex Mundi,9.99
2014,Snack Games,4.99
2014,Lionhead Studios,14.99
2014,Lionhead Studios,34.99
2014,Lionhead Studios,9.99
2014,Arkavi Studios,29.99
2004,VisualArts/Key,9.99
2014,Lucid Games Ltd,4.99
2014,Shortbreak Studios s.c.,2.99
2014,Ripatti Software,6.99
2014,REMIMORY,Free
2014,One-bit Punch,9.99
2014,electrolyte,6.99
2014,"CyberConnect2 Co., Ltd.",1.99
2014,"CyberConnect2 Co., Ltd.",1.99
2014,"CyberConnect2 Co., Ltd.",29.99
2014,Trickster Arts,6.99
2014,Sonalysts Combat Simulations,9.99
2007,Team 6 Studios,4.99
2011,Brain Bombers,4.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",Free To Play
2014,"Gravvit Ltd,Forbes  Consult Ltd",8.99
2014,Fledermaus,9.99
2014,"Gravvit Ltd,Forbes Consult Ltd",34.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",49.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",89.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",99.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",99.99
2014,"Gravvit Ltd,Forbes  Consult Ltd",19.99
2014,AMPLITUDE Studios,29.99
2014,Ankama Studio,Free to Play
2014,Starfish-SD Inc,9.99
2014,Terri Vellmann,9.99
2006,Maus Software,9.99
2014,Cyanide,9.99
2014,Dynamic Games,3.99
2014,Triumph Studios,11.99
2014,Artery Games,1.99
2014,Ankama Studio,49.99
2014,Ankama Studio,9.99
2014,The Domaginarium,14.99
2014,inXile Entertainment,39.99
2014,OVERDRIVE,34.99
2014,"Arcen Games, LLC",6.99
2014,"Mindware Co.,Ltd.",14.99
2014,Tasty Stewdios LLC,9.99
2013,Winter Wolves,14.99
2014,FireFly Studios,49.99
2014,ChessBase,39.99
2014,Winter Wolves,0.99
2014,Lucid Games Ltd,3.99
2014,ChessBase,19.99
2014,CreativeForge Games,19.99
2014,Hidden Path Entertainment,14.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,WaterMelon,14.99
2014,Frogwares,29.99
2014,"FromSoftware, Inc",9.99
2014,Housemarque,3.99
2014,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",9.99
2014,"CyberConnect2 Co., Ltd.",1.99
2014,Rob Howland,4.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,11.99
2014,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",19.99
2014,Final Boss Entertainment,9.99
2014,SCS Software,0.99
2014,Ubisoft - San Francisco,2.99
2014,Minor Key Games,7.99
2014,Jesse Makkonen,4.99
2014,Nival,9.99
2014,Thomson Interactive,39.99
2014,Biart Company LLC,4.99
2014,Longbow Games,4.99
2014,"SmiteWorks USA, LLC",14.99
2014,Cyanide,9.99
2013,Moonrise Interactive,9.99
2014,"SNK CORPORATION,DotEmu",7.99
2014,"Holden Boyles,Ciprian Stanciu",9.99
2011,Microids,9.99
2014,"Holden Boyles,Ciprian Stanciu",2.99
2014,Magnitude 3,49.99
2010,Papaya Studio,19.99
2010,Papaya Studio,19.99
2012,High Impact Games,19.99
2014,Gamestar,19.99
2011,Disney Interactive,5.99
2009,Eurocom,19.99
2014,Walk Thru Walls Studios,4.99
2014,Cyanide Studio,29.99
2014,Nexon,Free to Play
2014,Sunside Inc,9.99
2014,Double Fine Productions,14.99
2014,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",4.99
1999,Strategy First,7.99
2014,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",3.99
2008,URSE Games,3.99
2014,"SmiteWorks USA, LLC",4.99
2014,"SmiteWorks USA, LLC",4.99
2003,"Monolith Productions, Inc.",9.99
2014,"SmiteWorks USA, LLC",4.99
2014,FarSight Studios,29.99
2014,FarSight Studios,39.99
2007,Papaya Studio,19.99
2013,Artefacts Studio,4.99
2014,Chicken in The Corn,9.99
2014,Croteam,Free
2014,Tango Gameworks,9.99
2017,Alkemi,18.99
2014,Tango Gameworks,19.99
2014,Bossa Studios,4.99
2014,Graviteam,14.99
2014,Haemimont Games,3.99
2014,Green Lava Studios,1.99
2014,"David Hensley,Alex Quick",Free
2014,"Harmonix Music Systems, Inc",9.99
2014,"Harmonix Music Systems, Inc",4.99
2011,Artifex Mundi,9.99
2014,Game-Labs,14.99
2014,TiconBlu,9.99
2014,Niels Bauer Games,9.99
2014,Codemasters,29.99
2014,SmallGreenHill,9.99
2011,Alawar Entertainment,3.99
2014,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
1989,"MicroProse Software, Inc",6.99
2014,Proton Studio Inc,9.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Secret Base,12.99
2014,Ubisoft - San Francisco,2.99
2014,Samurai Punk,14.99
2014,Milestone S.r.l.,2.99
2014,CBE software s.r.o.,2.99
2014,Carenado,24.99
2014,Ino-Co Plus,4.99
2014,Super Icon Ltd,6.99
2014,Keen Games,2.99
2014,CBE software s.r.o.,4.99
2014,Rebellion,1.99
2014,Ronimo Games,4.99
2014,"Skyhook Games,Dovetail Games",9.99
2014,Midnart,9.99
2014,N-Game Studios,14.99
2014,Freehold Games,14.99
2014,Odin Game Studio,19.99
2014,Cross Eaglet,9.99
2014,Propelled Bird Software,14.99
2014,SCS Software,0.99
2007,Lexis Numerique,9.99
2006,Orion Games,2.99
2014,"Expansive Worlds,Avalanche Studios",29.99
2014,"Expansive Worlds,Avalanche Studios",49.99
2014,Ubisoft - San Francisco,11.99
2014,Keys of Nine Entertainment,9.99
2014,Double Fine Productions,9.99
2014,Terrible Posture Games,4.99
2014,Patrice Meneguzzi,4.99
2014,David Szymanski,1.99
2014,Targem Games,9.99
2014,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
2014,Carenado,24.99
1998,"DotEmu,DreamForge Intertainment",9.99
2014,Rezoner,4.99
2014,Dovetail Games,19.99
2014,David Szymanski,0.99
2014,Attract Mode Games,9.99
2014,Giants Software,19.99
2014,Entrada Interactive LLC,19.99
2014,Gl33k,2.99
2014,Paradox Development Studio,1.99
2014,Key17 Games,0.99
2016,OKAM Studio,14.99
2012,Ageod,24.99
2014,Ageod,3.99
2014,Ageod,3.99
2014,Netmin Games,9.99
2014,"Nicalis, Inc.",14.99
2014,Bohemia Interactive,11.99
2006,Sumo Digital Ltd,5.99
2014,Mind Crew,4.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,7.99
2014,"SmiteWorks USA, LLC",24.99
1998,TNT Team,6.99
1995,"MicroProse Software, Inc",6.99
1990,Ozark Softscape,6.99
1996,"Accolade, Inc",6.99
1990,"MicroProse Software, Inc",6.99
2014,Good Games,1.99
2014,alpha six productions,9.99
2014,WINGED SAKURA GAMES,4.99
2014,WINGED SAKURA GAMES,14.99
2014,ILIKESCIFI Games,3.99
2014,Bulwark Studios,9.99
2014,Sascha Hartleb,5.99
2014,Freebird Games,3.99
2014,Ino-Co Plus,14.99
2014,Freebird Games,2.99
2014,Sunlight Games,12.99
2014,Ubisoft - San Francisco,11.99
2014,Double Fine Productions,6.99
2014,ONE MORE LEVEL,3.99
2014,Codemasters,14.99
2014,Full Control Studios,29.99
2014,Leadwerks Software,29.99
2014,Sean Han Tani,4.99
2014,Moondrop,13.99
2014,Frima Studio,14.99
2014,Frima Studio,3.99
2014,Nexus Game Studios,19.99
2014,Timeslip Softworks,7.99
2014,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",0.99
2014,Naiad Entertainment LLC,4.99
2014,"TT Games,Feral Interactive (Mac)",2.99
2014,Ubisoft - San Francisco,2.99
2014,"TT Games,Feral Interactive (Mac)",2.99
2014,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",19.99
2014,"SmiteWorks USA, LLC",4.99
2014,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",4.99
2014,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",29.99
2014,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",29.99
2014,United Independent Entertainment GmbH,9.99
2014,Might and Delight,4.99
2014,Colossal Order Ltd.,4.99
2014,Tavern Games,1.99
2014,"Upper One Games,E-Line Media",14.99
2014,Colossal Order Ltd.,4.99
2014,Fatshark,14.99
2014,Z-Software,5.99
2014,WayForward,4.99
2014,Infinity Plus 2,Free to Play
2014,"SmiteWorks USA, LLC",7.99
2014,WhiteMoon Dreams,Play WARMACHINE: Tactics Demo
2014,Quaternion Studio,6.99
2014,Studio Whisky Tango Inc.,2.99
2014,Bacon Bandit Games,7.99
2014,Studio Whisky Tango Inc.,9.99
2014,"Romenics,Artaani,Riya",10.99
2014,VIS - Visual Imagination Software,Free
2014,Milestone S.r.l.,9.99
2013,On Target Simulations,49.99
2014,Fayju,15.99
2014,The Game Creators,79.99
2012,immersionFX,9.99
2014,Mykhail Konokh,4.99
2014,Badland Studio,19.99
2014,Masthead Studios Ltd,13.99
2014,Wolverine Studios,19.99
2014,Daniel Gill,2.99
2014,Red Hedgehog,9.99
2014,Dovetail Games,12.99
2014,MagicIndie,9.99
2014,Dekovir Entertainment,18.99
2014,Axis Game Factory,14.99
2014,Torn Banner Studios,2.99
2014,Hot Lava,13.99
2013,MoeNovel,14.99
2014,Portalarium,39.99
2014,Ubisoft - San Francisco,2.99
2014,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",7.99
2014,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",1.99
2014,Archetype Global,9.99
2014,Firaxis Games,2.99
2014,Carenado,24.99
2014,"CD PROJEKT RED,Can Explode",9.99
2014,Forge Reply srl,14.99
2014,Orange_Juice,1.99
2014,Grynsoft,14.99
2014,Kylotonn Entertainment,9.99
2014,Crafty Studios,9.99
2014,Earthworm Games,9.99
2014,Dovetail Games,19.99
2014,Coffee Stain Studios,9.99
2014,Neon Serpent LLC,Free to Play
2014,Causal Bit Games Inc.,5.99
2014,Neon Serpent LLC,4.99
2014,Dovetail Games,19.99
2014,Dovetail Games,19.99
2010,Zoetrope Interactive,9.99
2014,"Hassey Enterprises, Inc.",Free to Play
2014,Choice of Games,5.99
2014,Inertia Game Studios,3.99
2014,Alternative Software Ltd,5.99
2014,Gamious,7.99
2014,Vortal Storm,Free
2005,Kylotonn,7.99
2014,Victory Works,24.99
2014,"Dejobaan Games, LLC,Popcannibal",14.99
2014,Arrowhead Game Studios,4.99
2014,Flying Wild Hog,19.99
2014,blamedrop,3.99
2014,Tikipod Ltd,6.99
2014,Benjamin Bryant,Free
2012,Rob Lach,3.99
2014,Rob Lach,0.99
2012,Rob Lach,3.99
2013,Chessbase,19.99
2014,Great War Team,4.99
2014,Rob Howland,4.99
2014,Square Enix,19.99
2014,Light Echo,2.99
2014,KintoGames,3.99
2014,vertex4 entertainment ltd.,14.99
2014,Dingaling,9.99
2016,DigitalWorldEntertainment,1.99
2014,BlankMediaGames,4.99
2014,Paper Games,7.99
2014,Flat Earth Games,12.99
2014,AAD Productions,14.99
2014,Widdly 2 Diddly,6.99
2016,Actual Tools,24.99
2014,Ubisoft - San Francisco,7.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Ubisoft - San Francisco,2.99
2014,Graviteam,14.99
2014,Graviteam,16.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,Capcom,3.99
2014,"BadFly Interactive, a.s.",4.99
2014,Eversim,4.99
2014,WisdomTools,8.99
2014,Eversim,19.99
2014,Eversim,9.99
2014,Kojima Productions,19.99
2016,DoubleDutch Games,14.99
2014,Dovetail Games,39.99
2014,Duelboot,4.99
2014,Hex Keep,9.99
2014,Shumkov Dmitriy,Free to Play
2014,XPEC Entertainment Inc.,9.99
2014,Blue Label Studio,0.99
2014,Choice of Games,9.99
2014,InsGames,0.99
2014,Choice of Games,6.99
2014,RobTop Games,3.99
2014,1C Wireless,4.99
2014,Colonthree Enterprises,0.99
2015,Dimmdrive Inc.,19.99
2014,TRI.G,2.99
2015,"Forthright Casual Games,Beyond-Limits-Games",2.99
2015,Peter Hrdy,4.99
2015,Johan Aronsson,2.99
2015,Nooner Bear Studio,2.99
2015,Eversim,14.99
2015,Carenado,34.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,13.99
2015,InsGames,0.99
2015,Snails Animation,4.99
2015,InsGames,0.99
2015,ARTDINK,24.99
2015,MeDungeon Ltd.,4.99
2015,MagicIndie,9.99
2015,Camel 101,9.99
2015,Breaking Fourth,9.99
2015,Forever Entertainment S. A.,4.99
2015,Eagle Dynamics,9.99
2014,HCP Games,0.99
2015,Sean Davy,2.99
2015,Crystal Dynamics,4.99
2015,Crystal Dynamics,1.99
2015,Crystal Dynamics,1.99
2015,Swagabyte Games,3.99
2015,Crystal Dynamics,1.99
2007,Coldwood Interactive,9.99
2015,Spiderweb Software,19.99
2015,Orangepixel,4.99
2015,Dovetail Games,19.99
2015,Nyamyam,4.99
2015,Mårten Jonsson,4.99
2015,Uniworlds Game Studios,6.99
2015,"Levels or Lives,Super Fun Games",7.99
2014,Shaman Games Studio,6.99
2015,"Amaranth Games, LLC",9.99
2015,"Sledgehammer Games,Raven Software",1.99
2015,"Sledgehammer Games,Raven Software",1.99
2015,"Sledgehammer Games,Raven Software",1.99
2015,"Sledgehammer Games,Raven Software",2.99
2015,"Sledgehammer Games,Raven Software",1.99
2015,"Sledgehammer Games,Raven Software",2.99
2015,Kisareth Studios,2.99
2015,Union Workshop,24.99
2015,HuniePot,9.99
2015,Cat5Games,6.99
2014,InvertMouse,Free
2013,Axis Game Factory LLC,79.99
2015,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",0.99
2015,"CAPCOM Co., Ltd.",19.99
2014,Gamesare,4.99
2015,Fancy Fish Games,9.99
2015,Fancy Fish Games,4.99
2015,Fancy Fish Games,12.99
2015,Andy Wallace,0.98
2015,InvertMouse,1.99
2015,"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com,sanodg (Nobuyoshi Sano)",9.99
2015,"Andy Wallace,Nathaniel Chambers",0.99
2015,Beam Team Games,14.99
2015,GTGD,4.99
2015,Petroglyph,29.99
2015,InvertMouse,Free
2009,Deck13,9.99
2015,Ivy Games LLC,4.99
2015,MKLab,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,11.99
2015,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",4.99
2015,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",9.99
2015,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",0.99
2015,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",1.99
2015,Autumn Moon,9.99
2015,Alternative Software Ltd,6.99
2015,Carenado,29.99
2015,Charybdis Ltd,3.99
2015,Alternative Software Ltd,6.99
2015,Nevosoft,4.99
2013,Machine 22,4.99
2015,Encryptique,9.99
2015,Spark Plug Games,Free To Play
2015,"Mikeypoo's Games,Roger Levy",0.99
2015,Pastagames,9.99
2015,"SmiteWorks USA, LLC",4.99
2015,"SmiteWorks USA, LLC",4.99
2015,"SmiteWorks USA, LLC",7.99
2015,"SmiteWorks USA, LLC",4.99
2015,"SmiteWorks USA, LLC",4.99
2015,"SmiteWorks USA, LLC",4.99
2015,Rock Paper Games,5.99
2015,"SmiteWorks USA, LLC",5.99
2015,Crystal Dynamics,4.99
2015,Black Shell Games,4.99
2015,Black Shell Games,2.99
2015,Moonlight Mouse,4.99
2015,Alientrap,14.99
2015,Philip Royer,0.99
2015,Back To Basics Gaming,0.99
2015,Alientrap,6.99
2015,Aegon Games,6.99
2015,Juniper Games,7.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Handelabra Games Inc.,1.99
2015,Handelabra Games Inc.,4.99
2015,Doyodo,1.99
2015,Digital Train Model,19.99
2015,MovingBlocks,Free to Play
2015,Endgame Studios,9.99
2015,Smoodlez,7.99
2015,Mayhem Games USA,4.99
2015,2SD,9.99
2015,Failbetter Games,18.99
2015,Emmanuel Salva Cruz,2.99
2015,Haemimont Games,3.99
2015,AGO Games,9.99
2015,Ubisoft - San Francisco,7.99
2015,3000AD,9.99
2015,The Bitfather,9.99
2014,Mad Ram Software,0.99
2015,HuniePot,3.99
2015,Felix Wunderlich,4.99
2015,Targem Games,6.99
2015,Geek Sloth Games,2.99
2015,Shifty Chair Games,Free to Play
2015,Dennis Esie,4.99
2015,Maltakreuz,9.99
2015,Morozov Sergey,8.99
2015,DragonHead Studio,39.99
2015,Lunagames,2.99
2015,Sinister,12.99
2015,Thrillion,4.99
2015,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",4.99
2015,Chaphat,29.99
2015,Atmosphere Entertainment Studios,9.99
2015,"MPR ART Hallucinations,Roger Levy",0.99
2015,FarSpace Studios,3.99
2015,"FarSpace Studios,Andrew Lloyd",2.99
2015,LiveItGames LLC,1.99
2015,Hyper Hippo Games,4.99
2015,Battenberg Software,3.99
2015,Creative Assembly,7.99
2015,Red Herring Labs,9.99
2015,Defiant Development,19.99
2015,"TT Games,Feral Interactive (Mac)",2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,11.99
2015,Pringo Dingo Games,1.99
2015,Auroch Digital,5.99
2015,"New Life Interactive, LLC",5.99
2015,DL Softworks,9.99
2015,"Flashback Games,The Lordz Games Studio",Free to Play
2015,Glass Bottom Games,14.99
2015,Spasman Games,4.99
2014,Spasman Games,Free to Play
2015,Rob Howland,4.99
2015,Lonely Troops,7.99
2015,FourbitFriday,15.99
2015,Doyodo,3.99
2015,Rainbow Games,3.99
2015,Brandon Brizzi,4.99
2015,Lawrence Russell,6.99
2015,Iridium Studios,9.99
2015,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",4.99
2015,Capcom,1.99
2015,Capcom,1.99
2015,Capcom,1.99
2015,Capcom,1.99
2015,Chocolate Liberation Front,6.99
2015,Capcom,1.99
2015,Capcom,9.99
2015,Capcom,1.99
2015,Capcom,1.99
2015,Capcom,1.99
2015,Capcom,2.99
2015,Capcom,2.99
2015,Capcom,2.99
2015,Capcom,1.99
2015,Capcom,2.49
2015,Capcom,2.49
2015,Capcom,2.99
2015,"CAPCOM Co., Ltd.",5.99
2015,Capcom,4.99
2015,"Flat Earth Games,Epiphany Games",9.99
2015,David Stark,14.99
2015,Loren Lemcke,1.99
2015,"Just Add Water (Developments), Ltd.",0.99
2015,Loading Home,2.99
2015,Leikir Studio,13.99
2015,"Just Add Water (Developments), Ltd.",19.99
2015,"Just Add Water (Developments), Ltd.",2.99
2015,"Alan Hazelden,Benjamin Davis",9.99
2015,"Gearbox Software,Aspyr (Mac)",34.99
2015,Big Ant Studios,9.99
2015,Paradox Development Studio,14.99
2015,Paradox Development Studio,2.49
2015,Anvate Games,2.99
2014,Artifex Mundi,9.99
2015,Hyde Games,4.99
2013,"Alawar Entertainment,Toyman Interactive",6.99
2015,"Upper One Games,E-Line Media",6.99
2015,Idea Factory,6.99
2015,DIMPS,39.99
2015,"KOEI TECMO GAMES CO., LTD.",49.99
2015,"KOEI TECMO GAMES CO., LTD.",9.99
2015,"KOEI TECMO GAMES CO., LTD.",4.99
2015,"KOEI TECMO GAMES CO., LTD.",7.99
2015,"KOEI TECMO GAMES CO., LTD.",2.99
2015,"KOEI TECMO GAMES CO., LTD.",2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,11.99
2015,Rock Pocket Games,14.99
2015,"Sledgehammer Games,Raven Software",14.99
2015,OSome Studio,14.99
2015,Chris McFarland,3.99
2015,Antiproto,9.99
2015,"Yohan Launay,Frederic Gaillard",0.99
2015,GameUS Inc.,139.92
2015,GameUS Inc.,9.99
2015,GameUS Inc.,29.99
2015,GameUS Inc.,39.99
2015,Capcom,5.99
2015,Clarus Victoria,5.99
2015,GameUS Inc.,49.99
2015,Nomad Games,59.99
2015,Nomad Games,1.99
2015,C63 Industries,9.99
2015,SynthR,4.29
2015,ASTRO PORT,4.99
2004,Primal,6.99
2015,11 bit studios,0.99
2015,Might and Delight,14.99
2015,"Jetdogs Studios,Fineway Studios",4.99
2015,MagicIndie,9.99
2015,"Deco Digital,Bevel Studios,Yakobo",5.99
2015,"Ubisoft Sofia,Ubisoft Kiev",0.99
2015,Kunos Simulazioni,9.99
2015,Cherry Co. Studios,4.99
2015,"Ubisoft Sofia,Ubisoft Kiev",1.99
2015,Tin Man Games,4.99
2015,Tonguç Bodur,2.99
2015,Dovetail Games,19.99
2015,Camshaft Software,29.99
2015,Firaxis Games,14.99
2015,G-OLD,9.99
2015,"Sledgehammer Games,Raven Software",3.99
2015,Carenado,24.99
2015,Idea Factory,8.99
2015,InvertMouse,2.99
2015,Cornfox &amp; Bros.,14.99
2015,Five Archers Games,9.99
2015,Juggernaut Games,5.99
2015,GRIN,9.99
2015,Tom Johnson,14.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Ubisoft - San Francisco,2.99
2015,Point2Point Entertainment,9.99
2015,Ubisoft - San Francisco,2.99
2015,David Mulder,1.99
2015,Ubisoft - San Francisco,2.99
2015,[bracket]games,4.99
2015,Capcom Vancouver,1.99
2015,Pixeljam,3.99
2008,Ascension Entertainment LLC,Free Mod
2015,Bigmoon Studios,9.99
2009,"Maxwolf,Fox",7.99
2015,Aldorlea Games,3.99
2015,TML-Studios,19.99
2015,SCS Software,0.99
2015,"Jetdogs Studios,Zoom Out Games",2.99
2015,KOG,9.99
